Team ,Winning Percentage ,Conference ,Rushing Yards (Defense) ,Representation in press top 25 ,Championship History ,Fumbles lost ,Net Punting,Completion Percentage ,Average Team Sacks 
Army West Point,1,AAC,557,yes ,no,1,40.36,0.607,1.86
BYU,1,BIG 12 ,991,yes ,no,2,38.78,0.587,1.71
Indiana,1,BIG 10 ,573,yes ,no,2,42.27,0.733,3
Iowa St.,1,BIG 12 ,790,yes ,no,0,38.38,0.61,1.29
Liberty,1,CUSA,560,no ,no,5,38.24,0.631,2
Miami (FL),1,ACC,644,yes ,no,5,38.5,0.699,3.29
Navy,1,AAC,991,yes ,no,0,38.84,0.617,2.5
Oregon,1,BIG 10 ,856,yes ,no,3,42,0.764,2.86
Penn St.,1,BIG 10 ,570,yes ,no,1,41.19,0.709,2.33
Pittsburgh,1,ACC,651,yes ,no,1,42.95,0.635,3
Clemson,0.857,ACC,910,yes ,yes,1,38.31,0.657,2.43
Duke,0.857,ACC,1072,no ,no,5,41.23,0.592,3.43
Georgia,0.857,SEC,750,yes ,yes ,1,45.09,0.668,2.57
Illinois,0.857,BIG 10 ,1017,yes ,no,5,39.95,0.649,2.71
Kansas St.,0.857,BIG 12 ,1041,yes ,no,5,37.58,0.624,2.86
LSU,0.857,SEC,804,yes ,yes,1,36.55,0.653,3.43
Louisiana,0.857,SUN BELT,,no ,no,0,37.92,0.695,1.29
Memphis,0.857,AAC,827,no ,no,1,41.31,0.647,2.43
Missouri,0.857,SEC,808,yes ,no,3,40.3,0.639,2.14
Notre Dame,0.857,FBS INDEPENDENT ,792,yes ,no,5,38.12,0.655,2.57
SMU,0.857,ACC,609,yes ,no,7,37.94,0.644,2.29
Tennessee,0.857,SEC,550,yes ,no,4,39.39,0.638,2.14
Texas,0.857,SEC,730,yes ,no,6,37.35,0.68,2.86
Texas A&M,0.857,SEC,812,yes ,no,1,39.95,0.582,2.43
UNLV,0.857,MOUNTAIN WEST ,731,no ,no,1,41.15,0.619,3.14
Washington St.,0.857,PAC-12,1003,no ,no,1,38.43,0.612,1.43
Boise St.,0.833,MOUNTAIN WEST ,634,yes ,no,1,34.79,0.644,4.83
Ohio St.,0.833,BIG 10 ,518,yes ,yes ,4,38.83,0.716,2.83
Syracuse,0.833,ACC,765,no ,no,0,38.12,0.652,2.17
ULM,0.833,SUN BELT,909,no ,no,1,37,0.569,2.33
Alabama,0.714,SEC,989,yes ,yes,5,44.5,0.681,2.43
Arizona St.,0.714,BIG 12 ,811,no ,no,5,40.5,0.584,2.14
Cincinnati,0.714,BIG 12 ,1173,no ,no,6,40.57,0.674,2.43
Colorado,0.714,BIG 12 ,1072,no ,no,3,37.15,0.714,3
Eastern Mich.,0.714,MAC,1053,no ,no,3,40.28,0.623,2.86
Ga. Southern,0.714,SUN BELT,1225,no ,no,6,42.43,0.642,1.57
James Madison,0.714,SUN BELT,837,no ,no,4,39,0.571,2
Nebraska,0.714,BIG 10 ,720,no ,no,3,33.42,0.662,3
North Texas,0.714,AAC ,1122,no ,no,5,40.92,0.63,1.86
Ole Miss,0.714,SEC,466,yes ,no,4,44.31,0.674,3.43
Sam Houston,0.714,CUSA,905,no ,no,4,34.91,0.593,2
San Jose St.,0.714,MOUNTAIN WEST ,1053,no ,no,8,38.06,0.605,1.86
Texas Tech,0.714,BIG 12 ,1144,no ,no,6,36.08,0.635,0.86
Toledo,0.714,MAC,850,no ,no,5,37.9,0.622,2.29
Tulane,0.714,AAC ,848,no ,no,5,39.73,0.636,2.57
Vanderbilt,0.714,SEC,814,no ,no,1,41,0.66,2
Western Ky.,0.714,CUSA,1135,no ,no,4,39.44,0.674,2.14
Wisconsin,0.714,BIG 10 ,979,no ,no,7,41.71,0.608,1.71
Georgia Tech,0.625,ACC,894,no ,no,1,36.75,0.678,1.12
Arkansas,0.571,SEC,797,no ,no,6,45.67,0.594,2
Arkansas St.,0.571,SUN BELT,1546,no ,no,5,41.35,0.608,1.71
Boston College,0.571,ACC,996,no ,no,7,35.28,0.652,1.86
Buffalo,0.571,MAC ,1047,no ,no,4,39.27,0.538,1.86
Coastal Carolina,0.571,ACC,1343,no ,no,3,36.71,0.54,2.14
